PlayerName,Appearances,Wins,Losses,Saves,PenaltiesSaved,Punches,HighClaims,Catches,SweeperClearances,ThrowOuts,GoalKicks,CleanSheets,GoalsConceded,ErrorsLeadingToGoal,OwnGoals,YellowCards,RedCards,Fouls,Goals,Assists,Passes,PassesPerMatch,AccurateLongBalls,Tackles,TackleSuccess%,LastManTackles,BlockedShots,Interceptions,Clearances,HeadedClearance,ClearancesOffLine,Recoveries,DuelsWon,DuelsLost,Successful5050s,AerialBattlesWon,AerialBattlesLost,BigChancesCreated,Crosses,CrossAccuracy%,ThroughBalls,GoalsPerMatch,HeadedGoals,GoalsWithRightFoot,GoalsWithLeftFoot,PenaltiesScored,FreekicksScored,Shots,ShotsOnTarget,ShootingAccuracy%,HitWoodwork,BigChancesMissed,Offsides
Fabian  Schär ,36,17,14,0,0,0,0,0,0,0,0,8,58,0,0,5,0,38,4,1,"2,106",58.50,185,42,57%,1,12,36,131,50,1,174,150,149,13,70,72,2,8,38%,6,0,1,3,0,0,0,0,0,0,0,0,0
Jamaal  Lascelles ,16,7,7,0,0,0,0,0,0,0,0,5,15,0,0,4,0,17,1,0,769,48.06,14,14,64%,0,1,5,42,26,0,53,64,51,1,47,26,0,1,0%,0,0,1,0,0,0,0,0,0,0,0,0,1
Matt  Targett ,3,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,38,12.67,1,2,0%,0,0,0,2,0,0,5,4,4,0,0,3,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Emil  Krafth ,17,9,6,0,0,0,0,0,0,0,0,2,15,0,0,2,0,10,0,0,509,29.94,6,21,67%,0,2,9,18,10,0,44,44,43,3,13,15,2,17,47%,0,0,0,0,0,0,0,0,0,0,1,0,0
Harrison  Ashby ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan  Burn ,33,16,11,0,0,0,0,0,0,0,0,7,45,0,0,4,0,32,2,2,"1,500",45.45,25,61,54%,0,6,37,119,59,3,124,177,126,4,103,49,3,11,36%,1,0,1,0,1,0,0,0,0,0,0,0,4
Alex  Murphy ,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,8.50,0,1,100%,0,0,1,0,0,0,2,1,3,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tino  Livramento ,26,14,9,0,0,0,0,0,0,0,0,1,27,0,0,1,0,3,1,0,675,25.96,13,23,57%,0,2,25,37,17,1,85,80,48,17,12,8,1,26,19%,0,0,0,1,0,0,0,0,0,0,0,0,1
Lewis  Hall ,18,8,8,0,0,0,0,0,0,0,0,0,12,0,0,2,0,5,1,0,468,26.00,27,28,64%,0,6,12,17,8,0,56,52,47,9,10,11,0,23,17%,0,0,0,0,1,0,0,0,0,0,0,0,0
Matt  Ritchie ,13,8,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,86,6.62,0,5,60%,0,0,1,5,5,0,5,6,9,0,0,3,0,7,0%,0,0.08,0,1,0,0,0,6,4,67%,0,1,0
Jacob  Murphy ,21,12,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,3,7,421,20.05,7,20,50%,0,9,6,13,8,0,66,52,58,13,4,10,10,77,22%,10,0.14,0,3,0,0,0,30,10,33%,0,3,1
Miguel  Almirón ,33,15,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,3,1,767,23.24,13,36,67%,0,9,10,12,6,0,97,87,89,23,6,7,6,24,17%,5,0.09,0,0,3,0,0,41,12,29%,2,4,10
Joe  Willock ,9,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,153,17.00,9,13,54%,0,1,1,1,1,0,26,24,28,7,1,1,0,6,17%,1,0.11,1,0,0,0,0,7,4,57%,0,1,1
Sean  Longstaff ,35,16,13,0,0,0,0,0,0,0,0,0,0,0,0,7,0,24,6,2,"1,209",34.54,44,54,56%,0,14,17,22,16,0,120,117,130,11,19,22,5,25,32%,8,0.17,0,5,1,0,0,41,15,37%,0,7,2
Bruno  Guimarães ,37,18,13,0,0,0,0,0,0,0,0,0,0,0,0,9,0,50,7,8,"2,264",61.19,129,88,60%,0,16,35,19,8,0,237,286,218,72,18,24,12,32,38%,26,0.19,1,5,1,0,0,48,16,33%,1,2,0
Isaac  Hayden ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
Sandro  Tonali ,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,1,0,267,33.38,7,7,100%,0,1,2,4,2,0,20,17,19,3,1,0,0,11,36%,0,0.13,0,1,0,0,0,3,2,67%,0,1,0
Jay  Turner-Cooke ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
Harvey  Barnes ,21,11,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,5,3,254,12.10,3,6,17%,0,9,5,2,2,0,43,38,43,7,4,8,8,12,25%,1,0.24,1,3,1,0,0,27,12,44%,0,2,2
James  Huntley ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
Elliot  Anderson ,21,12,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,0,2,416,19.81,4,24,75%,0,5,8,20,11,0,60,83,87,21,19,14,2,19,16%,4,0.00,0,0,0,0,0,19,5,26%,0,1,1
Lewis  Miley ,17,6,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,3,524,30.82,18,33,64%,0,7,8,16,5,0,78,58,52,8,11,12,3,11,18%,4,0.06,0,1,0,0,0,13,3,23%,0,1,2
Travis  Hernes ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
Joe  White ,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,12,3.00,1,1,100%,0,0,0,0,0,0,2,1,4,0,0,3,0,0,0%,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
Lucas  De Bolle ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
 Joelinton ,20,9,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,28,2,1,616,30.80,0,39,0,0,4,19,10,9,0,0,0,0,0,0,0,5,2,0,0,0.10,0,2,0,0,0,19,9,47%,1,3,0
Anthony  Gordon ,35,17,14,0,0,0,0,0,0,0,0,0,0,0,0,10,1,38,11,10,922,26.34,0,55,0,0,26,7,4,2,0,0,0,0,0,0,0,16,111,0,0,0.31,0,10,1,1,0,81,31,38%,3,9,8
Callum  Wilson ,20,10,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,9,1,158,7.90,0,5,0,0,5,2,4,2,0,0,0,0,0,0,0,2,3,0,0,0.45,1,7,1,2,0,35,21,60%,1,6,4
Alexander  Isak ,30,14,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,21,2,474,15.80,0,5,0,0,14,6,12,5,0,0,0,0,0,0,0,5,10,0,0,0.70,1,19,1,5,0,78,43,55%,2,21,17
Garang  Kuol ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
Ben  Parkinson ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.00,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,1
Amadou  Diallo ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
Michael  Ndiweni ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
Wayne  Hennessey ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt  Turner ,17,4,8,55,0,5,28,2,0,99,136,2,28,3,0,2,0,0,0,0,473,27.82,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odysseas  Vlachodimos ,5,1,4,10,0,4,2,0,0,21,44,1,12,0,0,0,0,0,0,0,153,30.60,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matz  Sels ,16,4,8,38,0,6,11,1,0,51,93,1,27,1,0,1,0,0,0,0,325,20.31,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neco  Williams ,26,6,14,0,0,0,0,0,0,0,0,1,33,0,0,4,0,23,0,1,597,22.96,21,69,58%,0,7,22,43,26,1,107,149,106,19,31,21,1,68,18%,0,0,0,0,0,0,0,0,0,0,3,0,4
Harry  Toffolo ,23,5,12,0,0,0,0,0,0,0,0,1,29,0,0,3,0,17,1,3,446,19.39,17,26,54%,0,1,14,44,21,0,57,54,48,1,25,15,3,47,34%,0,0,1,0,0,0,0,0,0,0,0,0,0
Moussa  Niakhaté ,21,6,13,0,0,0,0,0,0,0,0,1,35,0,0,3,1,11,1,0,688,32.76,31,42,60%,0,2,14,49,23,1,98,64,24,3,16,5,0,11,9%,0,0,0,0,0,0,0,0,0,0,0,0,0
Willy-Arnaud  Boly ,20,5,10,0,0,0,0,0,0,0,0,2,23,0,0,1,1,20,2,1,611,30.55,31,46,63%,0,2,25,86,41,1,86,108,69,3,57,27,4,1,0%,1,0,2,0,0,0,0,0,0,0,0,0,1
 Felipe ,7,1,3,0,0,0,0,0,0,0,0,1,10,0,0,4,0,10,0,0,213,30.43,13,12,75%,0,2,4,11,6,0,20,29,21,1,14,6,0,0,0%,0,0,0,0,0,0,0,0,0,0,1,0,0
Zach  Abbott ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ola  Aina ,22,6,12,0,0,0,0,0,0,0,0,0,39,0,0,3,0,18,1,1,633,28.77,20,47,66%,0,5,18,41,22,0,97,115,66,27,17,12,0,28,25%,2,0,0,1,0,0,0,0,0,0,0,0,2
Gonzalo  Montiel ,14,5,6,0,0,0,0,0,0,0,0,0,11,1,0,5,0,6,0,2,318,22.71,14,22,86%,0,2,9,30,20,0,42,36,30,1,12,9,4,16,6%,1,0,0,0,0,0,0,0,0,0,0,0,2
 Murillo ,32,7,17,0,0,0,0,0,0,0,0,3,56,0,1,5,0,38,0,2,"1,444",45.13,117,50,62%,3,1,37,185,78,3,146,115,121,20,38,40,2,4,25%,6,0,0,0,0,0,0,0,0,0,1,0,0
Nuno  Tavares ,8,2,3,0,0,0,0,0,0,0,0,1,9,0,0,2,0,8,0,0,218,27.25,5,11,64%,0,0,1,15,9,0,33,22,18,6,3,2,0,16,13%,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew  Omobamidele ,11,2,7,0,0,0,0,0,0,0,0,0,15,1,1,2,0,6,0,0,309,28.09,13,10,30%,0,1,13,42,24,1,21,20,19,0,8,10,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan  Gibbs-White ,37,9,19,0,0,0,0,0,0,0,0,0,0,0,0,9,0,37,5,10,"1,282",34.65,72,36,67%,0,25,17,18,10,0,179,197,222,44,61,70,16,182,30%,17,0.14,1,4,0,1,0,71,15,21%,2,5,6
Cheikhou  Kouyaté ,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,73,6.08,0,8,63%,0,0,2,9,6,0,14,21,21,1,10,10,0,0,0%,0,0.00,0,0,0,0,0,5,1,20%,0,1,0
Ryan  Yates ,35,9,18,0,0,0,0,0,0,0,0,0,0,0,0,6,0,54,1,1,817,23.34,29,66,59%,0,11,21,39,11,0,110,168,119,4,43,38,2,6,17%,2,0.03,0,1,0,0,0,32,7,22%,1,2,2
 Danilo ,29,9,17,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,2,2,725,25.00,45,36,50%,0,7,35,41,10,0,118,76,69,17,15,10,2,26,15%,4,0.07,0,1,1,0,0,23,7,30%,0,1,2
Ibrahim  Sangaré ,17,3,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,22,0,0,419,24.65,23,42,55%,0,3,16,19,8,0,70,65,69,6,9,16,0,2,0%,3,0.00,0,0,0,0,0,8,0,0%,0,1,2
Nicolás  Domínguez ,26,6,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,26,2,2,829,31.88,27,63,54%,0,8,18,23,11,0,108,107,85,7,21,19,2,6,33%,2,0.08,1,1,0,0,0,22,6,27%,0,1,2
Jamie  McDonnell ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
Giovanni  Reyna ,9,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,129,14.33,4,7,43%,0,1,2,0,0,0,14,19,23,3,7,9,0,8,25%,0,0.00,0,0,0,0,0,5,2,40%,0,0,0
Taiwo  Awoniyi ,20,6,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,6,3,172,8.60,0,9,0,0,3,1,9,9,0,0,0,0,0,0,0,2,1,0,0,0.30,1,3,2,0,0,22,11,50%,0,4,13
Detlef  Esapa Osong ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
Chris  Wood ,31,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,14,1,431,13.90,0,7,0,0,7,1,26,19,0,0,0,0,0,0,0,3,2,0,0,0.45,5,4,5,0,0,48,26,54%,2,12,7
Anthony  Elanga ,36,9,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,5,9,644,17.89,0,33,0,0,11,8,16,9,0,0,0,0,0,0,0,14,58,0,0,0.14,1,3,1,0,0,54,23,43%,3,10,19
Divock  Origi ,20,2,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,1,131,6.55,0,6,0,0,4,2,2,1,0,0,0,0,0,0,0,5,13,0,0,0.00,0,0,0,0,0,14,4,29%,0,4,5
Callum  Hudson-Odoi ,29,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,1,647,22.31,0,18,0,0,8,7,11,4,0,0,0,0,0,0,0,4,74,0,0,0.28,0,8,0,0,0,38,20,53%,2,2,9
Joe  Gardner ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
Rodrigo  Ribeiro ,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,2.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
Adam  Davies ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wes  Foderingham ,30,3,23,133,0,11,26,5,0,101,262,1,79,5,1,2,0,1,0,0,943,31.43,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan  Amissah ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivo  Grbic ,9,0,6,37,0,5,8,1,0,25,89,0,25,1,0,1,0,0,0,0,271,30.11,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George  Baldock ,13,1,8,0,0,0,0,0,0,0,0,0,21,0,0,4,0,19,0,1,319,24.54,13,18,56%,0,0,10,30,16,0,44,51,54,6,15,13,1,18,22%,0,0,0,0,0,0,0,0,0,0,0,0,1
Chris  Basham ,8,0,7,0,0,0,0,0,0,0,0,0,6,0,0,1,0,3,0,0,122,15.25,4,7,29%,0,0,5,17,9,0,16,20,21,3,8,8,0,4,0%,0,0,0,0,0,0,0,0,0,0,0,0,2
John  Egan ,6,0,5,0,0,0,0,0,0,0,0,0,17,0,0,2,0,6,0,0,183,30.50,5,6,67%,0,1,13,39,10,0,21,21,21,0,14,9,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Max  Lowe ,10,2,7,0,0,0,0,0,0,0,0,0,12,0,0,1,0,7,0,1,107,10.70,4,21,48%,0,2,5,14,3,0,7,31,28,2,5,11,1,8,13%,0,0,0,0,0,0,0,0,0,0,0,0,1
Anel  Ahmedhodzic ,31,2,24,0,0,0,0,0,0,0,0,1,89,1,0,9,1,34,2,0,955,30.81,47,64,56%,2,4,34,134,42,0,106,139,108,11,51,36,1,6,17%,1,0,1,1,0,0,0,0,0,0,1,0,2
Jack  Robinson ,34,3,24,0,0,0,0,0,0,0,0,1,83,0,2,10,0,19,1,1,"1,064",31.29,72,43,65%,2,4,33,127,56,2,135,133,85,5,70,45,1,12,33%,1,0,0,0,1,0,0,0,0,0,0,0,1
Jayden  Bogle ,34,3,25,0,0,0,0,0,0,0,0,1,79,0,1,9,0,38,3,0,772,22.71,34,66,55%,1,10,32,86,49,0,139,163,154,25,50,28,0,40,25%,1,0,0,3,0,0,0,0,0,0,0,0,4
Rhys  Norrington-Davies ,5,1,3,0,0,0,0,0,0,0,0,0,6,0,0,1,0,3,0,0,54,10.80,1,1,100%,0,0,1,2,1,0,4,4,7,1,1,1,0,2,0%,0,0,0,0,0,0,0,0,0,0,0,0,1
Jili  Buyabu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Yasser  Larouci ,11,0,9,0,0,0,0,0,0,0,0,0,11,0,0,1,0,5,0,0,165,15.00,2,17,53%,0,2,7,20,10,0,34,33,25,10,1,4,1,6,0%,0,0,0,0,0,0,0,0,0,0,0,0,1
Auston  Trusty ,32,2,24,0,0,0,0,0,0,0,0,1,81,1,0,4,0,23,0,0,846,26.44,38,47,64%,3,1,35,145,82,1,89,127,104,6,63,51,3,5,40%,0,0,0,0,0,0,0,0,0,0,1,0,3
Evan  Easton ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason  Holgate ,10,1,7,0,0,0,0,0,0,0,0,0,22,0,0,3,1,8,0,0,165,16.50,10,12,58%,0,1,11,39,21,0,30,26,24,1,9,7,1,7,29%,0,0,0,0,0,0,0,0,0,0,1,0,0
Sam  Curtis ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7.00,0,1,0%,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Dovydas  Sasnauskas ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver  Norwood ,27,2,19,0,0,0,0,0,0,0,0,0,0,0,0,8,0,15,1,0,855,31.67,68,41,63%,0,4,21,36,14,0,98,65,63,1,14,17,1,52,31%,2,0.04,0,1,0,1,0,15,6,40%,0,0,0
Ben  Osborn ,24,2,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,2,506,21.08,23,22,41%,0,3,8,26,13,0,80,44,55,7,6,22,1,47,21%,1,0.00,0,0,0,0,0,4,0,0%,0,0,1
Oliver  Arblaster ,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,428,35.67,21,23,61%,0,0,15,8,1,0,52,61,47,17,9,15,1,7,0%,0,0.00,0,0,0,0,0,1,1,100%,0,0,0
Andre  Brooks ,20,1,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,248,12.40,3,22,59%,0,3,14,14,2,0,45,54,67,12,11,14,0,8,0%,0,0.00,0,0,0,0,0,9,2,22%,0,1,0
Anis  Ben Slimane ,15,1,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,136,9.07,2,11,55%,0,2,5,7,3,0,35,26,56,2,7,18,0,0,0%,1,0.00,0,0,0,0,0,8,3,38%,0,2,2
Vinicius  Souza ,36,3,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,48,1,0,979,27.19,39,125,61%,0,4,32,75,49,0,153,220,152,17,67,41,0,10,20%,0,0.03,0,1,0,0,0,14,6,43%,0,0,2
Gustavo  Hamer ,36,3,26,0,0,0,0,0,0,0,0,0,0,0,0,9,0,50,4,6,982,27.28,42,39,54%,0,15,29,32,11,0,162,90,154,28,6,16,10,115,29%,5,0.11,0,3,1,0,0,49,15,31%,0,1,6
Tom  Davies ,9,1,7,0,0,0,0,0,0,0,0,0,0,1,0,2,0,7,0,0,92,10.22,2,10,50%,0,2,3,5,2,0,21,17,24,2,3,3,0,4,0%,1,0.00,0,0,0,0,0,4,1,25%,0,0,0
James  McAtee ,31,4,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,3,3,489,15.77,7,32,66%,0,8,11,15,4,0,96,104,156,33,12,31,4,36,25%,6,0.10,0,1,2,1,0,26,9,35%,0,2,1
Ryan  Oné ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0,0,0%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
Sydie  Peck ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0,0,0%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
Owen  Hampson ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
Rhian  Brewster ,13,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,73,5.62,0,5,0,0,1,1,2,2,0,0,0,0,0,0,0,0,3,0,0,0.00,0,0,0,0,0,7,3,43%,0,0,1
Oliver  McBurnie ,21,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,2,19,6,3,398,18.95,0,17,0,0,6,5,28,26,0,0,0,0,0,0,0,3,5,0,0,0.29,1,4,1,2,0,33,17,52%,2,7,4
William  Osula ,21,1,17,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,0,90,4.29,0,2,0,0,6,2,9,3,0,0,0,0,0,0,0,1,2,0,0,0.00,0,0,0,0,0,21,8,38%,0,2,6
Daniel  Jebbison ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0
